Maxdepth,Maxfeatures,Minsamplesperleaf,Minsamplespersplit,MMRE-
1,0.01,1,2,4.617407481293882
1,0.01,1,7,4.422108709745809
1,0.01,1,12,4.617407481293882
1,0.01,1,17,4.4635020166687305
1,0.01,1,21,4.617407481293882
1,0.01,4,2,4.443502271736527
1,0.01,4,7,4.858999137596292
1,0.01,4,12,4.422108709745809
1,0.01,4,17,4.422108709745809
1,0.01,4,21,4.422108709745809
1,0.01,7,2,4.422108709745809
1,0.01,7,7,3.556891133247257
1,0.01,7,12,3.074232717767688
1,0.01,7,17,3.556891133247257
1,0.01,7,21,4.4635020166687305
1,0.01,10,2,4.858999137596292
1,0.01,10,7,3.074232717767688
1,0.01,10,12,3.074232717767688
1,0.01,10,17,3.611999773894617
1,0.01,10,21,5.345468090441227
1,0.01,12,2,4.858999137596292
1,0.01,12,7,3.611999773894617
1,0.01,12,12,4.4635020166687305
1,0.01,12,17,5.225370883380868
1,0.01,12,21,4.4635020166687305
1,0.12,1,2,5.37510621735187
1,0.12,1,7,3.611999773894617
1,0.12,1,12,4.422108709745809
1,0.12,1,17,4.585303963033664
1,0.12,1,21,4.617407481293882
1,0.12,4,2,4.443502271736527
1,0.12,4,7,4.4635020166687305
1,0.12,4,12,3.815768545152246
1,0.12,4,17,4.4635020166687305
1,0.12,4,21,4.422108709745809
1,0.12,7,2,3.611999773894617
1,0.12,7,7,3.815768545152246
1,0.12,7,12,3.6521670572187768
1,0.12,7,17,5.225370883380868
1,0.12,7,21,5.225370883380868
1,0.12,10,2,5.589013428673031
1,0.12,10,7,5.225370883380868
1,0.12,10,12,5.225370883380868
1,0.12,10,17,3.611999773894617
1,0.12,10,21,4.4635020166687305
1,0.12,12,2,5.589013428673031
1,0.12,12,7,5.225370883380868
1,0.12,12,12,3.1347862451041872
1,0.12,12,17,3.07365505874361
1,0.12,12,21,5.589013428673031
1,0.23,1,2,3.938716972079412
1,0.23,1,7,4.585303963033664
1,0.23,1,12,3.938716972079412
1,0.23,1,17,3.94738859076666
1,0.23,1,21,4.617407481293882
1,0.23,4,2,4.422108709745809
1,0.23,4,7,3.938716972079412
1,0.23,4,12,4.422108709745809
1,0.23,4,17,3.815768545152246
1,0.23,4,21,3.938716972079412
1,0.23,7,2,4.422108709745809
1,0.23,7,7,3.6521670572187768
1,0.23,7,12,4.422108709745809
1,0.23,7,17,3.815768545152246
1,0.23,7,21,3.815768545152246
1,0.23,10,2,4.858999137596292
1,0.23,10,7,3.611999773894617
1,0.23,10,12,3.07365505874361
1,0.23,10,17,3.1347862451041872
1,0.23,10,21,4.623039620766083
1,0.23,12,2,4.623039620766083
1,0.23,12,7,3.611999773894617
1,0.23,12,12,3.07365505874361
1,0.23,12,17,3.611999773894617
1,0.23,12,21,4.623039620766083
1,0.34,1,2,4.585303963033664
1,0.34,1,7,4.617407481293882
1,0.34,1,12,3.938716972079412
1,0.34,1,17,3.94738859076666
1,0.34,1,21,3.938716972079412
1,0.34,4,2,3.938716972079412
1,0.34,4,7,3.94738859076666
1,0.34,4,12,3.938716972079412
1,0.34,4,17,3.938716972079412
1,0.34,4,21,3.938716972079412
1,0.34,7,2,3.556891133247257
1,0.34,7,7,3.556891133247257
1,0.34,7,12,3.6521670572187768
1,0.34,7,17,3.815768545152246
1,0.34,7,21,3.815768545152246
1,0.34,10,2,3.074232717767688
1,0.34,10,7,3.074232717767688
1,0.34,10,12,3.1347862451041872
1,0.34,10,17,3.1347862451041872
1,0.34,10,21,3.074232717767688
1,0.34,12,2,3.074232717767688
1,0.34,12,7,3.074232717767688
1,0.34,12,12,3.1347862451041872
1,0.34,12,17,3.07365505874361
1,0.34,12,21,3.611999773894617
1,0.45,1,2,3.938716972079412
1,0.45,1,7,4.422108709745809
1,0.45,1,12,3.938716972079412
1,0.45,1,17,4.585303963033664
1,0.45,1,21,4.585303963033664
1,0.45,4,2,3.94738859076666
1,0.45,4,7,3.938716972079412
1,0.45,4,12,3.938716972079412
1,0.45,4,17,3.938716972079412
1,0.45,4,21,3.938716972079412
1,0.45,7,2,3.6521670572187768
1,0.45,7,7,3.6521670572187768
1,0.45,7,12,3.556891133247257
1,0.45,7,17,3.556891133247257
1,0.45,7,21,3.556891133247257
1,0.45,10,2,3.1347862451041872
1,0.45,10,7,3.1347862451041872
1,0.45,10,12,3.07365505874361
1,0.45,10,17,3.1347862451041872
1,0.45,10,21,3.074232717767688
1,0.45,12,2,3.1347862451041872
1,0.45,12,7,3.1347862451041872
1,0.45,12,12,3.074232717767688
1,0.45,12,17,3.1347862451041872
1,0.45,12,21,3.1347862451041872
1,0.56,1,2,3.938716972079412
1,0.56,1,7,3.94738859076666
1,0.56,1,12,3.94738859076666
1,0.56,1,17,3.94738859076666
1,0.56,1,21,3.94738859076666
1,0.56,4,2,3.94738859076666
1,0.56,4,7,3.938716972079412
1,0.56,4,12,3.938716972079412
1,0.56,4,17,3.94738859076666
1,0.56,4,21,3.94738859076666
1,0.56,7,2,3.556891133247257
1,0.56,7,7,3.556891133247257
1,0.56,7,12,3.556891133247257
1,0.56,7,17,3.6521670572187768
1,0.56,7,21,3.6521670572187768
1,0.56,10,2,3.1347862451041872
1,0.56,10,7,3.1347862451041872
1,0.56,10,12,3.1347862451041872
1,0.56,10,17,3.1347862451041872
1,0.56,10,21,3.1347862451041872
1,0.56,12,2,3.07365505874361
1,0.56,12,7,3.07365505874361
1,0.56,12,12,3.1347862451041872
1,0.56,12,17,3.1347862451041872
1,0.56,12,21,3.1347862451041872
1,0.67,1,2,3.938716972079412
1,0.67,1,7,3.938716972079412
1,0.67,1,12,3.938716972079412
1,0.67,1,17,3.94738859076666
1,0.67,1,21,3.94738859076666
1,0.67,4,2,3.938716972079412
1,0.67,4,7,3.938716972079412
1,0.67,4,12,3.938716972079412
1,0.67,4,17,3.938716972079412
1,0.67,4,21,3.938716972079412
1,0.67,7,2,3.6521670572187768
1,0.67,7,7,3.6521670572187768
1,0.67,7,12,3.556891133247257
1,0.67,7,17,3.556891133247257
1,0.67,7,21,3.6521670572187768
1,0.67,10,2,3.1347862451041872
1,0.67,10,7,3.1347862451041872
1,0.67,10,12,3.07365505874361
1,0.67,10,17,3.1347862451041872
1,0.67,10,21,3.1347862451041872
1,0.67,12,2,3.1347862451041872
1,0.67,12,7,3.1347862451041872
1,0.67,12,12,3.1347862451041872
1,0.67,12,17,3.1347862451041872
1,0.67,12,21,3.1347862451041872
1,0.78,1,2,3.938716972079412
1,0.78,1,7,3.938716972079412
1,0.78,1,12,3.938716972079412
