Ascend_angle,Descend_angle_1,Descend_angle_2,Cruise_speed_m_per_s,Trip_distance_m,Cruise_altitude_m,Payload,Wind,Direction,T-,?Long_accel-,?Lat_accel-,?Jerk-
9,7,4,103,8893,916,1297,29,159,1,0,0,0
21,20,17,107,13540,897,662,9,53,0,3,3,0
6,27,24,65,28423,768,815,24,16,0,2,2,1
30,15,12,86,28911,972,1578,26,48,0,2,2,1
28,9,6,91,18084,356,380,6,93,0,1,2,1
19,16,13,101,12847,227,1217,12,79,0,3,3,3
20,18,15,36,21815,866,1948,27,97,0,0,0,0
18,16,13,79,17945,511,250,8,134,0,0,2,0
18,21,18,73,12473,746,1299,5,152,0,1,2,0
25,27,24,79,29760,391,665,24,172,0,1,2,0
18,27,24,25,12611,266,152,17,105,0,0,0,0
4,6,3,77,12855,200,710,22,6,0,0,3,0
3,25,22,25,27544,896,403,15,135,1,0,0,0
26,6,3,39,10646,956,1061,18,69,1,0,0,0
24,11,8,78,16833,332,1328,1,94,0,1,2,0
3,21,18,34,18491,209,231,15,139,1,0,1,0
24,26,23,67,15514,796,3,16,152,0,0,0,0
8,13,10,36,11080,799,1877,28,124,1,0,0,0
8,12,9,58,27667,840,1849,27,112,0,0,0,0
21,12,9,58,24683,364,1631,20,68,0,1,1,0
25,11,8,91,10570,876,860,21,9,0,2,2,0
20,29,26,53,22076,312,84,4,43,0,2,3,1
28,6,3,93,10989,674,1567,30,79,1,1,1,0
15,19,16,42,22045,793,154,17,124,0,0,0,0
17,27,24,80,19489,551,676,12,135,0,2,2,0
19,27,24,85,29551,317,1025,11,49,0,3,3,2
14,15,12,51,16437,883,324,29,8,0,1,1,1
21,23,20,44,21649,707,1216,22,22,0,2,1,1
30,25,22,42,14178,312,1758,9,25,0,3,3,1
4,10,7,108,8061,859,1872,2,124,1,0,1,0
26,11,8,31,15483,702,1035,13,156,1,0,0,0
20,22,19,84,16305,951,1888,26,13,0,3,3,1
21,10,7,101,27045,729,103,10,47,0,1,2,0
26,11,8,105,15099,764,65,25,154,0,0,1,0
15,8,5,91,19905,204,296,29,174,0,0,2,0
3,14,11,69,18236,883,767,3,170,1,0,0,0
5,18,15,110,23524,825,466,15,59,0,2,2,0
27,30,27,38,8414,213,1711,12,151,0,1,1,1
23,13,10,42,23329,845,1776,3,36,0,0,0,0
24,28,25,26,12723,370,617,19,128,1,0,0,0
14,12,9,83,27800,487,539,22,111,0,0,2,0
25,29,26,87,15787,588,865,25,66,0,3,3,2
17,15,12,74,8072,256,1185,1,100,0,2,2,1
5,16,13,36,12277,424,1244,23,40,0,1,1,0
21,23,20,45,28858,884,1744,25,53,0,2,1,0
19,12,9,74,14500,261,602,26,166,1,0,2,0
28,15,12,48,26916,750,1003,24,128,0,0,0,0
9,12,9,32,23689,555,784,10,7,0,0,0,0
28,24,21,75,20200,994,1772,23,45,0,3,3,1
26,7,4,86,27324,891,954,11,45,0,1,1,0
26,6,3,43,22417,573,1321,4,109,0,0,0,0
14,16,13,45,17652,290,176,2,98,0,0,1,0
25,18,15,39,25525,736,1980,24,115,0,0,0,0
25,9,6,41,9159,823,314,24,65,0,0,0,1
28,8,5,39,8589,797,318,16,130,1,0,0,0
21,23,20,24,28775,494,1036,2,6,0,0,0,0
5,18,15,104,23474,860,345,4,3,0,2,2,0
16,9,6,39,6222,585,431,22,174,1,0,0,0
29,7,4,51,25341,698,207,3,171,0,0,0,0
27,8,5,30,9047,927,1970,4,97,1,0,0,0
25,21,18,58,11803,557,1551,9,27,0,3,3,0
13,18,15,48,17997,301,1104,12,95,0,1,1,0
6,18,15,72,27750,829,244,27,11,0,2,1,1
18,20,17,29,15930,414,1562,4,24,0,0,0,0
12,25,22,22,14979,364,526,29,20,0,2,1,2
25,14,11,86,8866,294,1670,9,122,0,2,2,1
26,28,25,35,27579,495,276,21,70,0,2,1,0
14,26,23,50,12859,289,942,10,177,0,1,1,0
20,19,16,99,17095,430,1497,25,109,0,3,3,0
20,19,16,39,15217,410,1262,0,130,0,0,0,0
24,30,27,58,10352,603,794,10,13,0,3,3,0
9,18,15,54,17064,468,255,22,8,0,2,1,0
29,17,14,98,24823,631,854,24,59,0,3,3,0
24,15,12,49,26172,257,430,9,25,0,2,2,0
19,21,18,96,23241,212,284,3,57,0,3,3,3
17,16,13,88,7942,991,108,21,53,0,1,2,1
28,18,15,73,15233,542,1419,10,77,0,3,3,0
7,12,9,103,25904,225,400,3,31,0,2,3,2
11,21,18,71,24974,988,112,1,35,0,1,1,0
3,22,19,72,18513,801,311,3,146,0,1,1,0
18,6,3,23,11294,739,1024,14,57,1,0,0,0
24,14,11,50,17765,520,1793,1,156,0,0,1,0
10,15,12,93,17572,302,1018,3,98,0,2,3,1
19,27,24,81,28250,737,15,19,74,0,2,3,0
30,17,14,74,21271,785,57,26,165,1,0,0,0
27,9,6,55,24718,517,125,25,98,0,0,1,0
22,6,3,24,23148,791,1892,0,170,0,0,0,0
24,10,7,110,24103,616,407,0,114,0,1,3,0
8,6,3,22,23355,646,286,19,63,0,0,0,0
6,17,14,108,29248,204,326,3,0,0,2,3,2
19,20,17,72,18732,239,933,21,159,0,1,2,1
6,16,13,60,27562,933,298,2,174,0,0,0,0
13,30,27,35,15939,514,1336,26,66,0,2,1,0
6,13,10,24,10978,289,328,7,128,0,0,0,0
16,18,15,88,21305,862,175,13,25,0,2,3,0
22,6,3,101,20544,217,1577,0,119,0,1,2,1
22,24,21,95,12813,281,368,24,135,0,2,2,2
7,19,16,59,8291,311,147,18,61,0,2,2,1
25,29,26,97,16281,731,1555,24,85,0,3,3,1
4,17,14,62,24181,968,697,25,55,0,1,1,0
13,6,3,106,16792,325,370,28,114,0,0,2,0
26,19,16,56,18932,913,1343,18,77,0,1,1,0
22,20,17,64,7805,809,790,14,178,0,0,0,0
12,22,19,101,15808,877,1020,14,125,0,2,3,0
24,8,5,80,20308,406,1286,22,94,0,1,1,0
26,30,27,41,25908,994,625,9,64,0,1,0,0
