Ascend_angle,Descend_angle_1,Descend_angle_2,Cruise_speed_m_per_s,Trip_distance_m,Cruise_altitude_m,Payload,Wind,Direction,?T-,Long_accel-,Lat_accel-,Jerk-
9,7,4,103,8893,916,1297,29,159,1,0,0,0
3,25,22,25,27544,896,403,15,135,1,0,0,0
26,6,3,39,10646,956,1061,18,69,1,0,0,0
3,21,18,34,18491,209,231,15,139,1,0,1,0
8,13,10,36,11080,799,1877,28,124,1,0,0,0
28,6,3,93,10989,674,1567,30,79,1,1,1,0
4,10,7,108,8061,859,1872,2,124,1,0,1,0
26,11,8,31,15483,702,1035,13,156,1,0,0,0
3,14,11,69,18236,883,767,3,170,1,0,0,0
24,28,25,26,12723,370,617,19,128,1,0,0,0
19,12,9,74,14500,261,602,26,166,1,0,2,0
28,8,5,39,8589,797,318,16,130,1,0,0,0
16,9,6,39,6222,585,431,22,174,1,0,0,0
27,8,5,30,9047,927,1970,4,97,1,0,0,0
18,6,3,23,11294,739,1024,14,57,1,0,0,0
30,17,14,74,21271,785,57,26,165,1,0,0,0
17,27,24,33,18646,320,270,21,141,1,0,0,0
3,9,6,38,16882,846,1188,27,118,1,0,0,0
5,13,10,54,8923,643,561,26,123,1,0,0,0
4,9,6,48,12468,464,1895,25,166,1,0,0,0
11,29,26,30,7231,402,1201,26,117,1,0,0,0
24,22,19,26,16235,670,1222,29,118,1,0,0,0
20,20,17,45,14690,947,791,24,154,1,0,0,0
21,17,14,59,7804,436,348,27,155,1,0,0,0
3,23,20,67,11544,917,609,7,8,1,2,1,0
22,21,18,38,6598,841,164,16,152,1,0,0,0
8,27,24,29,22586,340,581,28,127,1,0,0,0
19,16,13,53,18645,696,1767,20,165,1,0,0,0
9,22,19,36,28663,789,1055,24,153,1,0,0,0
28,7,4,49,6109,710,192,0,166,1,0,0,0
12,18,15,40,24153,792,97,15,154,1,0,0,0
6,19,16,24,8036,884,1760,21,139,1,0,0,0
9,12,9,23,22430,358,1351,18,118,1,0,0,0
6,20,17,70,8930,771,453,27,53,1,2,1,1
30,11,8,23,18469,242,416,25,161,1,0,0,0
5,25,22,40,6733,823,1618,23,25,1,2,1,1
4,12,9,34,7739,531,846,8,86,1,0,0,0
5,7,4,57,8044,898,1334,10,142,1,0,0,0
3,16,13,27,12270,819,1060,30,130,1,0,0,0
12,8,5,35,19808,226,756,21,132,1,0,0,0
25,22,19,51,19709,424,1308,30,179,1,0,0,0
25,30,27,48,16964,923,358,24,152,1,0,0,0
3,26,23,27,7797,868,532,19,15,1,1,1,0
4,20,17,97,9325,575,1148,14,136,1,2,2,0
6,16,13,85,6444,487,1271,0,63,1,2,2,1
27,17,14,66,13221,854,422,30,146,1,0,0,0
22,6,3,33,6357,690,1162,19,130,1,0,0,0
25,28,25,30,16694,676,550,20,175,1,0,0,0
15,30,27,31,28719,723,282,19,149,1,0,0,0
9,14,11,54,8874,852,1822,11,15,1,0,1,0
3,27,24,34,12822,803,1212,7,9,1,1,0,0
6,13,10,66,9288,985,1741,18,19,1,1,1,0
10,12,9,43,25850,761,532,16,160,1,0,0,0
16,16,13,52,21373,250,1366,27,180,1,0,0,0
18,21,18,34,27810,877,520,12,164,1,0,0,0
3,28,25,31,13261,829,1925,5,166,1,0,0,0
3,17,14,104,9645,752,1865,18,87,1,2,2,0
10,7,4,101,9144,567,289,12,8,1,0,2,0
3,20,17,77,16769,869,895,0,56,1,1,1,0
18,8,5,43,10866,985,1727,28,71,1,0,0,0
8,20,17,76,6170,738,1813,22,76,1,2,2,0
15,11,8,110,6919,698,90,24,177,1,0,1,1
11,20,17,77,17967,548,1407,29,172,1,0,0,0
6,8,5,72,8338,507,1293,9,38,1,0,0,0
16,8,5,79,8829,703,951,19,25,1,0,2,0
20,27,24,38,18435,976,934,14,166,1,0,0,0
19,7,4,91,7153,886,1178,30,21,1,1,2,0
27,6,3,58,12144,290,964,27,142,1,0,1,0
8,6,3,57,9656,921,972,17,147,1,0,0,0
18,14,11,32,24078,423,763,27,164,1,0,0,0
22,15,12,25,28667,832,1847,19,135,1,0,0,0
22,6,3,55,14431,987,263,14,45,1,0,0,0
9,26,23,49,8096,584,1936,28,166,1,0,0,0
19,24,21,40,8476,263,1447,27,151,1,0,0,0
6,11,8,23,17029,732,1353,27,161,1,0,0,0
13,24,21,25,9306,823,154,25,139,1,0,0,0
8,10,7,105,10171,996,1167,7,110,1,0,1,0
25,6,3,75,12664,959,1306,14,113,1,0,1,0
28,7,4,70,8293,581,1578,14,85,1,1,1,1
9,25,22,25,11620,262,894,29,128,1,0,0,0
27,7,4,51,6686,598,483,25,134,1,0,0,0
12,20,17,38,20783,687,372,30,142,1,0,0,0
28,6,3,76,11609,694,193,27,155,1,0,0,0
30,7,4,61,12924,856,1723,27,141,1,0,0,0
10,6,3,51,9814,872,1145,22,31,1,0,0,0
8,15,12,25,25648,606,217,18,120,1,0,0,0
3,22,19,23,15771,249,161,27,134,1,0,0,0
22,16,13,27,27310,621,1918,23,140,1,0,0,0
9,15,12,67,21208,779,1044,26,173,1,0,0,0
14,30,27,23,13620,846,622,20,127,1,0,0,0
20,15,12,43,26065,502,1669,25,135,1,0,0,0
28,10,7,43,11718,465,879,29,159,1,0,0,0
3,24,21,28,22830,563,1857,16,168,1,0,0,0
16,13,10,73,8076,920,1540,18,76,1,0,1,1
23,7,4,58,6182,864,488,2,101,1,0,0,0
27,26,23,41,8318,590,1762,29,175,1,1,0,0
26,6,3,25,25135,527,399,16,130,1,0,0,0
19,7,4,98,9157,791,124,18,6,1,1,2,0
3,22,19,82,13600,886,1566,16,82,1,2,2,0
11,18,15,24,23494,546,956,27,135,1,0,0,0
3,25,22,43,11103,746,435,15,64,1,1,1,0
8,10,7,46,12539,892,1175,7,165,1,0,0,0
11,9,6,36,6998,704,690,25,58,1,0,0,0
12,7,4,38,6796,558,977,12,144,1,0,0,0
7,23,20,51,6819,708,1672,27,2,1,2,1,1
4,23,20,57,7558,971,1228,28,163,1,0,0,0
23,22,19,28,6580,928,484,22,126,1,0,0,0
19,8,5,30,18781,595,420,24,128,1,0,0,0
19,26,23,23,24872,678,1118,28,157,1,1,0,0
27,12,9,25,22415,237,549,17,134,1,0,0,0
6,9,6,45,9723,847,196,28,149,1,0,0,0
14,8,5,22,11407,319,948,26,179,1,0,0,0
4,11,8,58,11439,600,214,17,32,1,0,1,0
17,10,7,91,8604,796,634,23,65,1,0,2,1
7,15,12,56,7448,933,991,7,120,1,0,0,0
26,6,3,109,10771,946,870,15,65,1,1,2,0
8,26,23,31,6939,810,712,1,154,1,0,0,0
7,6,3,46,25419,954,1074,29,162,1,0,0,0
3,6,3,96,14890,882,1994,26,66,1,0,1,0
30,8,5,63,7753,821,1693,10,124,1,0,1,0
10,30,27,56,13387,555,1071,22,179,1,0,0,0
26,20,17,25,18413,396,212,17,137,1,0,0,0
7,6,3,23,8548,889,139,1,75,1,0,0,0
7,26,23,94,6145,946,556,9,4,1,2,2,1
28,29,26,54,11109,821,1668,27,154,1,0,0,0
8,20,17,99,7755,841,659,27,39,1,2,3,1
16,26,23,35,25170,235,1818,19,179,1,0,0,0
3,23,20,41,6212,529,186,11,116,1,0,0,0
24,6,3,102,15779,991,1554,1,5,1,1,1,0
13,28,25,59,10278,901,1870,29,179,1,0,0,0
22,14,11,48,13446,387,1580,25,148,1,0,0,0
6,10,7,23,6394,961,567,3,132,1,0,0,0
17,16,13,87,16289,913,1586,30,179,1,0,0,0
24,11,8,39,19966,752,1571,18,142,1,0,0,0
3,8,5,77,15026,547,1729,30,37,1,0,1,0
6,13,10,101,9302,633,1047,10,112,1,0,2,1
28,10,7,56,7836,227,1529,23,179,1,0,1,0
3,18,15,23,13852,951,857,30,69,1,0,0,0
25,8,5,37,9728,846,1148,12,86,1,0,0,0
29,6,3,97,6596,584,1806,0,135,1,1,1,0
9,8,5,24,14499,860,1841,16,100,1,0,0,0
4,29,26,75,7802,1000,539,29,4,1,2,2,1
17,6,3,37,6719,971,284,19,124,1,0,0,0
12,17,14,26,8043,982,1451,17,75,1,0,0,0
16,9,6,86,6488,677,543,30,163,1,0,0,0
13,24,21,28,18127,855,1059,15,167,1,0,0,0
9,23,20,107,7148,896,1307,9,106,1,2,2,0
7,6,3,90,11905,832,1569,13,117,1,0,0,0
30,27,24,37,20958,601,868,30,127,1,0,0,0
3,27,24,61,9358,642,1580,0,101,1,2,2,0
24,10,7,46,8445,326,403,25,175,1,0,0,0
13,19,16,34,10801,229,1626,20,134,1,0,0,0
4,6,3,70,12221,626,618,25,91,1,0,0,0
29,6,3,33,13744,805,1965,19,85,1,0,0,0
5,23,20,75,8818,648,876,20,0,1,2,2,1
5,7,4,54,6506,966,1578,11,94,1,0,0,0
4,6,3,87,7804,886,186,9,143,1,0,0,0
27,13,10,106,6529,938,1677,3,140,1,2,2,1
28,8,5,51,11655,959,1701,22,148,1,0,0,0
4,12,9,39,6498,747,641,30,55,1,0,1,0
21,11,8,38,9712,725,617,20,136,1,0,0,0
7,29,26,81,8698,884,1556,1,164,1,2,2,0
28,28,25,36,19070,356,995,16,142,1,0,0,0
25,27,24,47,13264,794,501,20,179,1,0,0,0
15,19,16,35,17673,917,1087,29,158,1,0,0,0
5,28,25,33,9424,872,1021,30,166,1,1,1,0
3,28,25,34,9186,757,880,3,22,1,1,0,0
7,8,5,76,11130,953,1428,3,118,1,0,0,0
8,7,4,38,10630,657,465,29,66,1,0,0,0
4,6,3,26,6328,399,270,6,92,1,0,0,0
22,7,4,44,13242,292,606,19,176,1,0,0,0
22,18,15,27,8251,540,1570,16,133,1,0,0,0
18,22,19,52,16658,652,386,20,175,1,0,0,0
17,14,11,42,9927,542,1495,19,176,1,0,0,0
11,23,20,55,15701,696,1173,21,177,1,0,0,0
10,7,4,60,7944,650,113,20,50,1,0,0,0
16,13,10,36,28288,636,460,27,117,1,0,0,0
27,6,3,43,16745,919,305,0,65,1,0,0,0
28,13,10,22,6685,412,859,10,158,1,0,0,0
19,12,9,40,8481,746,574,19,148,1,0,0,0
21,11,8,66,12684,341,985,30,139,1,0,0,0
7,26,23,35,9649,739,428,18,173,1,0,0,0
6,11,8,56,7838,848,1397,9,174,1,0,0,0
9,6,3,67,12835,711,803,27,14,1,0,1,0
24,10,7,77,20147,843,1472,27,179,1,0,0,0
4,12,9,89,10300,779,1265,30,0,1,1,1,1
25,23,20,24,20470,878,60,29,136,1,0,0,0
