Ascend_angle,Descend_angle_1,Descend_angle_2,Cruise_speed_m_per_s,Trip_distance_m,Cruise_altitude_m,Payload,Wind,Direction,?T-,Long_accel-,Lat_accel-,Jerk-
6,27,24,65,28423,768,815,24,16,0,2,2,1
30,15,12,86,28911,972,1578,26,48,0,2,2,1
20,18,15,36,21815,866,1948,27,97,0,0,0,0
18,16,13,79,17945,511,250,8,134,0,0,2,0
18,21,18,73,12473,746,1299,5,152,0,1,2,0
25,27,24,79,29760,391,665,24,172,0,1,2,0
18,27,24,25,12611,266,152,17,105,0,0,0,0
4,6,3,77,12855,200,710,22,6,0,0,3,0
3,25,22,25,27544,896,403,15,135,1,0,0,0
26,6,3,39,10646,956,1061,18,69,1,0,0,0
24,11,8,78,16833,332,1328,1,94,0,1,2,0
3,21,18,34,18491,209,231,15,139,1,0,1,0
24,26,23,67,15514,796,3,16,152,0,0,0,0
8,13,10,36,11080,799,1877,28,124,1,0,0,0
8,12,9,58,27667,840,1849,27,112,0,0,0,0
21,12,9,58,24683,364,1631,20,68,0,1,1,0
20,29,26,53,22076,312,84,4,43,0,2,3,1
15,19,16,42,22045,793,154,17,124,0,0,0,0
17,27,24,80,19489,551,676,12,135,0,2,2,0
19,27,24,85,29551,317,1025,11,49,0,3,3,2
14,15,12,51,16437,883,324,29,8,0,1,1,1
21,23,20,44,21649,707,1216,22,22,0,2,1,1
30,25,22,42,14178,312,1758,9,25,0,3,3,1
26,11,8,31,15483,702,1035,13,156,1,0,0,0
20,22,19,84,16305,951,1888,26,13,0,3,3,1
3,14,11,69,18236,883,767,3,170,1,0,0,0
27,30,27,38,8414,213,1711,12,151,0,1,1,1
23,13,10,42,23329,845,1776,3,36,0,0,0,0
24,28,25,26,12723,370,617,19,128,1,0,0,0
14,12,9,83,27800,487,539,22,111,0,0,2,0
17,15,12,74,8072,256,1185,1,100,0,2,2,1
5,16,13,36,12277,424,1244,23,40,0,1,1,0
21,23,20,45,28858,884,1744,25,53,0,2,1,0
19,12,9,74,14500,261,602,26,166,1,0,2,0
28,15,12,48,26916,750,1003,24,128,0,0,0,0
9,12,9,32,23689,555,784,10,7,0,0,0,0
28,24,21,75,20200,994,1772,23,45,0,3,3,1
26,7,4,86,27324,891,954,11,45,0,1,1,0
26,6,3,43,22417,573,1321,4,109,0,0,0,0
