ascend_angle,descend_angle_1,descend_angle_2,cruise_speed_m_per_s,trip_distance_m,cruise_altitude_m,payload,wind,direction,violations-
9,27,24,88,27000,200,0,30,90,7
24,21,18,22,27000,1000,1000,10,180,1
30,30,27,110,30000,800,0,20,0,9
12,27,24,88,30000,800,0,10,180,4
18,9,6,66,21000,200,0,0,0,4
9,18,15,110,9000,400,0,0,0,6
3,15,12,66,18000,500,2000,30,0,4
21,18,15,110,21000,300,0,20,90,9
24,18,15,22,15000,400,1000,0,90,0
9,30,27,22,12000,200,0,30,0,5
21,9,6,110,27000,400,1000,0,90,4
9,12,9,110,6000,900,1000,20,0,6
24,9,6,110,27000,600,2000,30,90,4
6,9,6,44,24000,500,1000,30,90,0
6,18,15,110,12000,1000,1000,20,0,6
3,18,15,22,15000,1000,1000,10,90,1
21,6,3,44,6000,1000,1000,10,180,1
6,6,3,44,30000,600,2000,20,0,0
30,24,21,88,27000,1000,1000,0,0,6
15,9,6,88,9000,800,2000,10,90,2
21,18,15,66,12000,300,2000,20,0,7
27,30,27,44,27000,800,2000,30,0,6
15,15,12,110,15000,500,2000,20,0,6
12,9,6,110,18000,600,0,0,180,3
30,9,6,22,15000,200,2000,0,0,0
9,12,9,44,15000,900,1000,30,0,2
24,24,21,88,27000,500,0,20,180,3
15,27,24,88,12000,500,1000,10,180,6
21,9,6,110,9000,200,1000,0,0,8
12,6,3,22,24000,200,0,30,180,4
15,24,21,22,9000,500,2000,10,90,0
27,15,12,88,12000,500,2000,0,180,6
27,9,6,88,27000,1000,1000,30,0,4
24,21,18,22,30000,1000,2000,0,90,0
9,15,12,22,21000,200,0,10,0,1
6,6,3,66,24000,900,1000,30,0,2
18,9,6,66,15000,1000,1000,10,90,0
21,9,6,44,21000,200,2000,10,90,2
12,24,21,66,12000,1000,2000,30,90,2
27,6,3,22,30000,600,0,30,180,4
15,30,27,66,12000,900,1000,30,180,1
12,12,9,110,24000,800,2000,20,180,1
24,27,24,22,9000,200,2000,10,90,3
21,18,15,44,30000,500,0,10,180,0
9,24,21,22,21000,1000,1000,10,90,0
12,30,27,88,30000,800,0,20,90,5
12,6,3,110,9000,500,2000,30,0,5
9,27,24,44,6000,300,2000,20,90,4
27,24,21,22,12000,800,1000,20,180,3
30,12,9,88,18000,800,2000,0,90,3
15,18,15,88,9000,500,0,10,0,5
30,30,27,44,6000,1000,0,30,180,4
15,24,21,44,6000,600,1000,20,90,0
12,21,18,44,12000,900,0,30,90,0
30,18,15,22,24000,400,0,10,90,0
12,15,12,88,12000,1000,2000,20,180,0
6,30,27,44,12000,800,0,30,90,1
18,9,6,88,9000,1000,2000,10,180,1
12,30,27,22,30000,600,2000,20,90,0
3,9,6,44,24000,500,0,30,90,0
3,30,27,22,15000,900,0,30,180,6
6,15,12,22,12000,700,1000,20,90,0
15,30,27,66,27000,600,2000,20,0,7
3,24,21,22,12000,1000,1000,20,0,3
18,27,24,88,24000,600,1000,30,0,8
24,12,9,44,6000,500,2000,20,90,0
9,9,6,44,24000,600,0,10,180,0
3,24,21,66,18000,1000,1000,20,180,1
12,27,24,88,6000,700,1000,10,0,7
3,24,21,88,30000,700,0,10,0,5
30,9,6,44,27000,900,1000,10,0,0
9,27,24,44,24000,900,2000,30,0,4
24,15,12,110,24000,600,1000,10,90,6
18,12,9,22,30000,200,2000,30,0,6
21,21,18,88,27000,400,0,10,0,7
27,27,24,22,24000,700,0,10,0,1
12,15,12,110,24000,500,2000,20,0,6
30,12,9,22,21000,800,1000,20,90,0
15,27,24,110,12000,1000,0,0,0,6
9,27,24,66,15000,500,2000,0,90,4
3,12,9,88,27000,800,1000,20,90,1
12,12,9,88,18000,500,0,10,180,2
9,12,9,66,30000,600,2000,10,90,0
6,30,27,88,18000,1000,1000,20,0,6
6,12,9,66,27000,1000,0,30,0,2
30,21,18,110,24000,500,1000,30,180,4
6,27,24,110,9000,1000,1000,10,90,6
27,24,21,44,15000,1000,1000,0,90,0
3,27,24,110,6000,400,1000,0,0,7
27,6,3,22,24000,600,0,0,0,0
18,6,3,44,6000,800,1000,0,90,1
24,18,15,110,18000,800,1000,10,0,7
3,21,18,66,6000,300,1000,0,180,6
15,24,21,88,24000,300,2000,30,0,8
3,21,18,44,24000,500,2000,20,90,0
9,18,15,44,30000,800,2000,20,0,2
24,12,9,22,6000,800,2000,20,180,4
12,15,12,44,27000,500,2000,30,180,3
9,30,27,88,12000,200,0,0,180,7
12,15,12,88,27000,200,2000,0,0,8
27,9,6,88,6000,600,1000,0,0,4
30,18,15,66,18000,300,1000,30,90,5
6,18,15,88,15000,600,1000,30,180,2
18,30,27,44,30000,200,0,30,180,4
